,Ingredient,Pre,Normalization,Freq
371,Frutti di bosco,frutti di bosco,frutti di bosco,72
372,Peperoncino fresco,peperoncino fresco,peperoncino fresco,213
373,Confettura d'arance,confettura d'arance,confettura,46
374,Fagioli borlotti precotti,fagioli borlotti precotti,fagioli,87
375,Fagioli cannellini precotti,fagioli cannellini precotti,fagioli cannellini precotti,61
376,Acciughe (alici),acciughe,acciughe,403
377,Cipolle rosse di Tropea,cipolle rosse di tropea,cipolle rosse di tropea,103
378,Aceto di vino rosso,aceto di vino rosso,aceto di vino rosso,528
379,Tacchino,tacchino,tacchino,43
380,Ricotta,ricotta,ricotta,324
381,Broccoli,broccoli,broccoli,95
382,Lasagne all'uovo,lasagne all'uovo,lasagne all'uovo,51
383,Semi di finocchio,semi di finocchio,semi di finocchio,76
384,Funghi porcini,funghi porcini,funghi porcini,107
385,Marmellata,marmellata,marmellata,46
386,Riso Basmati,riso basmati,riso basmati,42
387,Riso rosso,riso rosso,riso,289
388,Cetrioli,cetrioli,cetrioli,121
389,Feta,feta,feta,64
390,Speck,speck,speck,139
391,Mini Penne Rigate,mini penne rigate,mini penne rigate,16
392,Dischetti di pasta,dischetti di pasta,dischetti di pasta,17
393,Cioccolato al latte,cioccolato al latte,cioccolato al latte,59
394,Cioccolato fondente al 55%,cioccolato fondente al 55%,cioccolato fondente al 55%,833
395,Vanillina,vanillina,vanillina,53
396,Topinambur,topinambur,topinambur,20
397,Gelatina,gelatina,gelatina,429
398,Pappardelle Ricce all'uovo,pappardelle ricce all'uovo,pappardelle,17
399,Cinta senese,cinta senese,cinta senese,44
400,Ginepro,ginepro,ginepro,89
401,Farfalle,farfalle,farfalle,35
402,Valtellina Casera,valtellina casera,valtellina casera,8
403,Guanciale,guanciale,guanciale,54
404,Pecorino romano,pecorino romano,pecorino romano,519
405,Pomodorini in scatola,pomodorini,pomodorini,142
406,Linguine,linguine,linguine,56
407,Bottarga di muggine,bottarga di muggine,bottarga di muggine,50
408,Spaghetti Senza Glutine,spaghetti,spaghetti,201
409,Fave,fave,fave,103
410,Penne Rigate,penne rigate,penne rigate,104
411,Manzo,manzo,manzo,492
412,Zucchine baby,zucchine baby,zucchine baby,654
413,Provolone piccante,provolone piccante,provolone piccante,36
414,Ananas,ananas,ananas,78
415,Aglio in polvere,aglio,aglio,2572
416,Cosce di pollo,cosce di pollo,cosce di pollo,350
417,Anice stellato,anice stellato,anice stellato,21
418,Tonno al naturale,tonno al naturale,tonno al naturale,101
419,Agnello,agnello,agnello,57
420,Uova sode,uova sode,uova sode,50
421,Pecorino sardo,pecorino sardo,pecorino sardo,519
422,Olive verdi,olive verdi,olive verdi,119
423,Arance,arance,arance,358
424,Branzino (spigola),branzino,branzino,39
425,Birra scura,birra scura,birra scura,103
426,Radicchio,radicchio,radicchio,103
427,Lardo di Colonnata,lardo di colonnata,lardo di colonnata,12
428,Salmone,salmone,salmone,173
429,Vitello,vitello,vitello,492
430,Cardamomo,cardamomo,cardamomo,47
431,Ciliegie,ciliegie,ciliegie,86
432,Confettura di ciliegie,confettura di ciliegie,confettura di ciliegie,6
433,Pepe bianco in grani,pepe bianco,pepe bianco,5844
434,Confettura di mele e arance,confettura di mele e arance,confettura,46
435,Fagioli borlotti secchi,fagioli borlotti secchi,fagioli borlotti secchi,47
436,Sbrinz,sbrinz,sbrinz,3
437,Robiola,robiola,robiola,98
438,Sgombro,sgombro,sgombro,20
439,Semi di sesamo,semi di sesamo,semi di sesamo,132
440,Spaghetti,spaghetti,spaghetti,201
441,Pomodori pelati,pomodori pelati,pomodori pelati,196
442,Peperoncino secco,peperoncino secco,peperoncino secco,43
443,Pere Williams,pere williams,pere williams,20
444,Pomodori piccadilly,pomodori piccadilly,pomodori piccadilly,17
445,Tagliatelle all'uovo,tagliatelle all'uovo,tagliatelle all'uovo,29
446,Spaghetti di soia,spaghetti di soia,spaghetti,201
447,Tagliolini all'uovo,tagliolini all'uovo,tagliolini all'uovo,23
448,Tranci di salmone,tranci di salmone,tranci di salmone,173
449,Olio di sesamo,olio di sesamo,olio di sesamo,23
450,Savoiardi,savoiardi,savoiardi,82
451,Scorza di lime,scorza di lime,scorza di lime,567
452,Fagioli bianchi secchi,fagioli bianchi secchi,fagioli,87
453,Gamberetti,gamberetti,gamberetti,67
454,Capperi sott'aceto,capperi sott'aceto,capperi sott'aceto,366
455,Peperoni sott'aceto,peperoni sott'aceto,peperoni,612
456,Aceto,aceto,aceto,528
457,Pesche noci,pesche noci,pesche noci,21
458,Schiacciate al forno,schiacciate al forno,schiacciate al forno,9
459,Mozzarella di bufala,mozzarella di bufala,mozzarella di bufala,43
460,Pomodori San Marzano,pomodori san marzano,pomodori san marzano,31
461,Farina di farro,farina di farro,farina di farro,35
462,Aroma di mandarino,aroma di mandarino,aroma alla mandorla,10
463,Cioccolato fondente al 70%,cioccolato fondente al 70%,cioccolato fondente al 70%,833
464,Tartufi di cioccolato,tartufi di cioccolato,tartufi di cioccolato,4
465,Mele renette,mele renette,mele renette,32
466,Farina di pistacchi,farina di pistacchi,farina di pistacchi,8
467,Pere abate,pere abate,pere abate,12
468,Troccoli freschi,troccoli freschi,troccoli,4
469,Caramello,caramello,caramello,17
470,Zucca mantovana,zucca mantovana,zucca mantovana,23
471,Mostarda mantovana,mostarda mantovana,mostarda di frutta,10
472,Pesto alla Genovese,pesto alla genovese,pesto alla genovese,8
473,Fiori eduli,fiori eduli,fiori eduli,39
474,Succo di ananas,succo di ananas,succo di ananas,41
475,Ginger beer,ginger beer,ginger beer,3
476,Lattuga,lattuga,lattuga,112
477,Pane integrale,pane integrale,pane integrale,43
478,Sciroppo alla menta,sciroppo alla menta,sciroppo alla menta,27
479,Semi di anice,semi di anice,semi di anice,107
480,Confettura di mirtilli rossi,confettura di mirtilli rossi,confettura,46
481,Nocciole,nocciole,nocciole,164
482,Melagrana,melagrana,melagrana,50
483,Marmellata di albicocche,marmellata di albicocche,marmellata di albicocche,14
484,Cioccolato gianduia,cioccolato gianduia,cioccolato gianduia,20
485,Capesante,capesante,capesante,50
486,Asparagi bianchi,asparagi bianchi,asparagi,192
487,Brandy,brandy,brandy,122
488,Albicocche,albicocche,albicocche,69
489,Zucchero integrale di canna,zucchero integrale di canna,zucchero integrale di canna,547
490,Cipollotti rossi,cipollotti rossi,cipollotti rossi,296
491,Aceto di riso,aceto di riso,aceto di riso,29
492,Peperoncini Jalapeno,peperoncini jalapeno,peperoncini,468
493,Fettine di vitello,fettine di vitello,fettine di vitello,492
494,Pancetta,pancetta,pancetta,245
495,Cicoria,cicoria,cicoria,37
496,Codette al cioccolato,codette al cioccolato,codette al cioccolato,5
497,Farina per chapati,farina,farina,2121
498,Capretto,capretto,capretto,10
499,Pasta di pistacchi,pasta di pistacchi,pasta di pistacchi,18
500,Casarecce di ceci,casarecce di ceci,casarecce,16
501,Puntarelle,puntarelle,puntarelle,7
502,Primosale,primosale,primosale,19
503,Panini di farro,panini di farro,panini,78
504,Salsa Tabasco®,salsa tabasco®,tabasco®,79
505,Costine di maiale,costine di maiale,costine di maiale,202
506,Olio di oliva,olio di oliva,olio di oliva,122
507,Marsala all'uovo,marsala all'uovo,marsala,121
508,Torrone bianco,torrone bianco,torrone bianco,25
509,Farina istantanea per polenta,farina istantanea,farina istantanea,9
510,Carrè di agnello,carrè di agnello,carrè di agnello,57
511,Succo di mela,succo di mela,succo di mela,8
512,Semi di coriandolo,semi di coriandolo,semi di coriandolo,107
513,Indivia belga,indivia belga,indivia belga,16
514,Pannocchie,pannocchie,pannocchie,7
515,Fiocchi di avena,fiocchi di avena,fiocchi di avena,31
516,Risotto allo zafferano,risotto allo zafferano,risotto allo zafferano,9
517,Nesquik,nesquik,nesquik,10
518,Curry thai verde,curry thai verde,curry,89
519,Salmone sott'olio,salmone sott'olio,salmone,173
520,Bruscandoli,bruscandoli,bruscandoli,3
521,Montasio,montasio,montasio,25
522,Peperoni friggitelli,peperoni friggitelli,peperoni,9
523,Taccole,taccole,taccole,23
524,Fruttapec 1:1,fruttapec,fruttapec,3
525,Filetto di manzo,filetto di manzo,filetto di manzo,492
526,Pasta brisé,pasta brisé,pasta brisé,60
527,Toma piemontese,toma piemontese,toma,20
528,Grappa,grappa,grappa,56
529,Pepe,pepe,pepe,5844
530,Merluzzo,merluzzo,merluzzo,49
531,Vongole,vongole,vongole,83
532,Maiale,maiale,maiale,202
533,Mele Fuji,mele fuji,mele fuji,204
534,Gamberoni,gamberoni,gamberoni,28
535,Farina di grano duro,farina di grano duro,farina di grano duro,2121
536,Pavesini,pavesini,pavesini,11
537,Fagiolini,fagiolini,fagiolini,153
538,Bevanda alla mandorla,bevanda alla mandorla,bevanda di riso,2
539,Uva fragola,uva fragola,uva fragola,29
540,Alcol puro,alcol puro,alcol puro,23
541,Moscardini,moscardini,moscardini,15
542,Pappardelle all'uovo,pappardelle all'uovo,pappardelle all'uovo,17
543,Cinghiale,cinghiale,cinghiale,9
544,Palamita,palamita,palamita,3
545,Orata,orata,orata,23
546,Paglia e Fieno all'uovo,paglia e fieno all'uovo,paglia e fieno all'uovo,4
547,Mezze Penne Rigate,mezze penne rigate,mezze penne rigate,16
548,Scampi,scampi,scampi,60
