Def,Freq,Freq_Cucchiaio,Freq_GZ,Freq_RR
mele,204,121,74,9
mele cotogne,6,3,2,1
mele golden,47,27,20,0
mele granny smith,43,29,14,0
mele red delicious,8,3,5,0
mele renette,32,22,9,1
melissa,10,5,3,2
melone,39,18,21,0
menta,533,264,255,14
meringhe,28,20,8,0
merlot,1,1,0,0
merluzzo,49,21,25,3
mezze maniche,21,9,12,0
midollo,7,4,1,2
miele,335,173,143,19
miele d'acacia,10,10,0,0
miele di acacia,82,36,46,0
miele di castagno,15,8,7,0
miele millefiori,89,11,78,0
miglio,1,0,1,0
mirin,6,6,0,0
mirtilli,144,77,65,2
mirto,20,14,5,1
miso,4,2,2,0
misto,3,3,0,0
mistrà,2,2,0,0
mocetta,1,1,0,0
mollica di pane,98,84,0,14
mompariglia,2,2,0,0
montasio,25,6,9,10
monte veronese,2,1,1,0
more,68,46,22,0
mortadella,84,41,39,4
moscardini,15,9,6,0
moscato,22,12,9,1
mosciame di tonno,3,2,0,1
mostarda di frutta,10,6,4,0
mosto d'uva,3,1,0,2
mozzarella,264,142,103,19
mozzarella di bufala,43,26,17,0
mozzarella fiordilatte,53,41,12,0
muesli,10,8,2,0
muscari,1,0,0,1
musèt,2,1,0,1
nana,1,1,0,0
naruto,1,0,1,0
nasello,16,9,7,0
nduja,9,3,6,0
nebbiolo,1,0,1,0
negramaro,1,1,0,0
nepitella,2,2,0,0
nero di seppia,13,7,6,0
nespole,3,1,2,0
nesquik,10,0,10,0
nettarine,1,1,0,0
nocciole,164,88,73,3
nocciole tostate,45,43,2,0
noccioline,1,1,0,0
noce moscata,356,18,296,42
noci,222,170,25,27
noci di macadamia,8,8,0,0
noci pecan,24,17,7,0
noodles,14,6,8,0
nutella,136,54,82,0
oca,6,4,0,2
olio,2191,2157,7,27
olio d'oliva,122,64,36,22
olio di arachide,339,121,202,16
olio di cocco,14,6,8,0
olio di girasole,132,32,100,0
olio di mais,27,15,12,0
olio di mandorle,21,21,0,0
olio di riso,14,13,1,0
olio di semi,323,97,222,4
olio di sesamo,23,9,14,0
olio extravergine d'oliva,4337,1376,2450,511
olive,72,51,15,6
olive di gaeta,13,4,8,1
olive nere,244,114,107,23
olive taggiasche,106,64,39,3
olive verdi,119,69,40,10
ombrina,8,4,4,0
orata,23,5,17,1
orecchiette,18,9,9,0
origano,397,156,200,41
oro alimentare,2,1,1,0
